epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2603.2,0.58389,0.43471,0.93149,0.92418,0.94551,0.96104,0.88513,0.48018,0.3486,0.84969,0.000799454,0.000799454,0.000799454
91,2630.63,0.56461,0.43629,0.91569,0.92827,0.93888,0.96569,0.87655,0.51515,0.33794,0.85682,0.00079238,0.00079238,0.00079238
92,2658.76,0.59886,0.45303,0.9239,0.94799,0.9088,0.95892,0.88022,0.48806,0.3569,0.85306,0.000785307,0.000785307,0.000785307
93,2686.01,0.58612,0.43286,0.9232,0.9189,0.92139,0.95947,0.88373,0.47802,0.40404,0.84904,0.000778233,0.000778233,0.000778233
94,2713.48,0.58148,0.45738,0.91908,0.92612,0.92917,0.94771,0.85778,0.50068,0.62273,0.85542,0.00077116,0.00077116,0.00077116
95,2741.55,0.60872,0.48619,0.94658,0.95934,0.89573,0.96147,0.88895,0.48982,0.39041,0.85337,0.000764086,0.000764086,0.000764086
96,2769.3,0.58213,0.46635,0.9422,0.91536,0.9357,0.9602,0.88017,0.49062,0.38313,0.84821,0.000757013,0.000757013,0.000757013
97,2798.32,0.5608,0.43767,0.91265,0.9544,0.91031,0.96016,0.87518,0.49242,0.3659,0.85299,0.000749939,0.000749939,0.000749939
98,2825.51,0.55592,0.44864,0.91153,0.91574,0.93113,0.96024,0.87863,0.48427,0.3837,0.84582,0.000742866,0.000742866,0.000742866
99,2852.56,0.56534,0.44694,0.9204,0.94126,0.93497,0.96564,0.88784,0.49963,0.3376,0.85416,0.000735792,0.000735792,0.000735792
100,2881.5,0.58914,0.42372,0.91775,0.95561,0.90325,0.9622,0.88118,0.49841,0.34786,0.85229,0.000728719,0.000728719,0.000728719
101,2910.84,0.57692,0.43746,0.92492,0.97153,0.89345,0.95092,0.88121,0.4573,0.39781,0.84353,0.000721645,0.000721645,0.000721645
102,2940.49,0.57289,0.43088,0.91896,0.96432,0.88146,0.95388,0.88347,0.48403,0.3863,0.8475,0.000714571,0.000714571,0.000714571
103,2969.99,0.53993,0.40248,0.91727,0.98264,0.89164,0.96162,0.88578,0.47475,0.36726,0.84225,0.000707498,0.000707498,0.000707498
104,2999.81,0.57098,0.45248,0.93007,0.94203,0.90386,0.95932,0.88399,0.48406,0.37093,0.85189,0.000700424,0.000700424,0.000700424
105,3029.54,0.57099,0.43612,0.92183,0.93203,0.92654,0.95941,0.88554,0.48354,0.36944,0.84499,0.000693351,0.000693351,0.000693351
